date,imported,link_imported,link_shincheonji,hospitals_nursing_homes_etc,other_cluster,contacts,under_inv,total
20/06/2020,21.25382263,0.152905199,0,6.727828746,59.32721713,1.987767584,10.55045872,100
21/06/2020,22.17054264,0.15503876,0,7.131782946,58.4496124,2.325581395,9.76744186,100
22/06/2020,23.04,0.16,0,7.2,56.8,2.56,10.24,100
23/06/2020,27.01421801,0.157977883,0,7.109004739,53.2385466,2.52764613,9.952606635,100
24/06/2020,29.02208202,0.315457413,0,7.570977918,49.84227129,2.681388013,10.56782334,100
25/06/2020,29.82171799,0.324149109,0,7.94165316,47.32576985,3.079416532,11.50729335,100
26/06/2020,29.82171799,0.324149109,0,7.94165316,47.32576985,3.079416532,11.50729335,100
27/06/2020,32.8358209,0.331674959,0,4.975124378,44.61028192,5.638474295,11.60862355,100
28/06/2020,34.38985737,0.316957211,0,4.754358162,46.11727417,3.169572108,11.25198098,100
29/06/2020,34.11949686,0.314465409,0,4.559748428,45.75471698,3.459119497,11.79245283,100
30/06/2020,34.72868217,0.15503876,0,4.186046512,45.27131783,4.186046512,11.47286822,100
01/07/2020,34.81595092,0.153374233,0,3.527607362,44.47852761,6.595092025,10.42944785,100
02/07/2020,35.39412674,0.154559505,0,1.70015456,43.43122102,8.346213292,10.97372488,100
03/07/2020,33.73676248,0.15128593,0,1.210287443,43.72163389,9.228441755,11.9515885,100
04/07/2020,33.48554033,0.152207002,0,0.913242009,40.63926941,11.56773212,13.24200913,100
05/07/2020,34.47761194,0.298507463,0,0.597014925,45.52238806,8.358208955,10.74626866,100
06/07/2020,35.6223176,0.286123033,0,0.572246066,43.490701,9.298998569,10.72961373,100
07/07/2020,34.86370158,0.286944046,0,1.865136298,44.90674319,7.604017217,10.47345768,100
08/07/2020,35.96614951,0.141043724,0,1.410437236,44.99294781,7.052186178,10.43723554,100
09/07/2020,37.12328767,0.136986301,0,1.369863014,43.01369863,9.315068493,9.04109589,100
10/07/2020,38.17934783,0.135869565,0,2.173913043,42.93478261,7.472826087,9.10326087,100
11/07/2020,38.33333333,0.138888889,0,2.222222222,41.11111111,8.75,9.444444444,100
12/07/2020,39.45868946,0.142450142,0,2.279202279,40.45584046,8.974358974,8.689458689,100
13/07/2020,42.65927978,0.138504155,0,2.770083102,35.45706371,9.556786704,9.418282548,100
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
