date,imported,link_imported,link_shincheonji,hospitals_nursing_homes_etc,other_cluster,contacts,under_inv,total
06/04/2020,46,5,1,28,7,8,5,100
07/04/2020,47,5,1,29,7,7,4,100
08/04/2020,47,5,1,30,7,6,4,100
09/04/2020,47.7,5.6,1,31,7.7,4,3,100
10/04/2020,48.1,5.9,0.6,30.4,7.6,3.8,3.6,100
11/04/2020,49.9,6.8,0.6,27.6,8.3,3.4,3.4,100
12/04/2020,49.40796555,7.104413348,0.645855759,27.2335845,8.826695371,3.552206674,3.229278794,100
13/04/2020,49.4,7.3,0.6,27.5,9.2,3.3,2.7,100
14/04/2020,52.3,8,0.6,23.8,8.4,3.3,3.6,100
15/04/2020,53.6,8.7,0.6,23,7.8,3.3,3,100
16/04/2020,53.6,9.4,0.6,22.3,8.1,2.7,3.3,100
17/04/2020,54.1,9.9,0.6,21.6,8.4,2.3,3.1,100
18/04/2020,56.13682093,8.249496982,0.60362173,18.71227364,10.26156942,2.414486922,3.621730382,100
19/04/2020,55.31914894,8.037825059,0.709219858,19.14893617,11.11111111,2.600472813,3.073286052,100
20/04/2020,56.41025641,7.948717949,0.256410256,17.69230769,12.05128205,1.794871795,3.846153846,100
21/04/2020,57.10227273,7.954545455,0.284090909,15.05681818,13.35227273,2.272727273,3.977272727,100
22/04/2020,57.09677419,7.096774194,0.322580645,14.51612903,15.80645161,1.612903226,3.548387097,100
23/04/2020,55.55555556,6.093189964,0.358422939,14.33691756,17.92114695,2.150537634,3.584229391,100
24/04/2020,56.97674419,4.651162791,0.387596899,13.95348837,17.44186047,2.713178295,3.875968992,100
25/04/2020,57.56302521,4.201680672,0.420168067,11.34453782,17.64705882,3.361344538,5.462184874,100
26/04/2020,57.40740741,3.240740741,0.462962963,11.57407407,17.59259259,4.166666667,5.555555556,100
27/04/2020,57.71144279,3.482587065,0,10.94527363,16.91542289,6.467661692,4.47761194,100
28/04/2020,59.57446809,3.191489362,0,11.70212766,15.42553191,5.319148936,4.787234043,100
29/04/2020,60.58823529,2.352941176,0,11.17647059,13.52941176,6.470588235,5.882352941,100
30/04/2020,63.15789474,1.973684211,0,9.868421053,11.18421053,7.236842105,6.578947368,100
01/05/2020,64.02877698,1.438848921,0,10.79136691,9.352517986,7.913669065,6.474820144,100
02/05/2020,67.71653543,0.787401575,0,9.448818898,7.874015748,8.661417323,5.511811024,100
03/05/2020,68.18181818,0.757575758,0,9.090909091,6.818181818,8.333333333,6.818181818,100
04/05/2020,71.65354331,0.787401575,0,7.874015748,4.724409449,8.661417323,6.299212598,100
05/05/2020,73.55371901,0.826446281,0,5.785123967,4.958677686,9.090909091,5.785123967,100
06/05/2020,75.89285714,0.892857143,0,4.464285714,3.571428571,8.928571429,6.25,100
07/05/2020,77.77777778,0.925925926,0,3.703703704,2.777777778,8.333333333,6.481481481,100
08/05/2020,81.57894737,0.877192982,0,3.50877193,2.631578947,5.263157895,6.140350877,100
09/05/2020,72.95081967,0.819672131,0,3.278688525,15.57377049,2.459016393,4.918032787,100
10/05/2020,60.2739726,0.684931507,0,2.739726027,30.1369863,0.684931507,5.479452055,100
11/05/2020,50.87719298,0.584795322,0,1.169590643,42.69005848,0.584795322,4.093567251,100
12/05/2020,44.19889503,0,0,1.104972376,51.38121547,0.552486188,2.762430939,100
13/05/2020,39.30348259,0,0,0,56.21890547,0.497512438,3.980099502,100
14/05/2020,34.51327434,0,0,0,60.17699115,0.884955752,4.424778761,100
15/05/2020,30.73770492,0,0,0,62.29508197,2.049180328,4.918032787,100
16/05/2020,30.73929961,0,0,0,62.25680934,2.33463035,4.6692607,100
17/05/2020,29.57198444,0,0,0,64.20233463,2.33463035,3.891050584,100
18/05/2020,29.54545455,0,0,0,63.25757576,1.515151515,5.681818182,100
19/05/2020,28.83211679,0,0,0,63.50364964,1.824817518,5.839416058,100
20/05/2020,27.96052632,0,0,0.986842105,63.15789474,1.644736842,6.25,100
21/05/2020,26.92307692,0,0,1.602564103,64.1025641,1.602564103,5.769230769,100
22/05/2020,25.625,0,0,1.5625,64.0625,2.5,6.25,100
23/05/2020,26.15384615,0,0,2.153846154,62.46153846,2.153846154,7.076923077,100
24/05/2020,26.89873418,0,0,2.53164557,61.39240506,2.53164557,6.64556962,100
25/05/2020,27.60942761,0,0,0,62.62626263,2.693602694,7.070707071,100
26/05/2020,28.51851852,0,0,0,62.59259259,1.851851852,7.037037037,100
27/05/2020,26.07260726,0,0,0,62.04620462,4.290429043,7.590759076,100
28/05/2020,24.64589235,0,0,0,66.28895184,1.416430595,7.648725212,100
29/05/2020,22.13541667,0,0,0,69.01041667,1.5625,7.291666667,100
30/05/2020,21.53465347,0.247524752,0,0.99009901,68.56435644,1.237623762,7.425742574,100
31/05/2020,22.00956938,0.23923445,0,0.956937799,67.94258373,1.196172249,7.655502392,100
01/06/2020,19.8630137,0.228310502,0,0.913242009,70.77625571,0.684931507,7.534246575,100
02/06/2020,18.35853132,0.215982721,0,1.079913607,71.7062635,0.647948164,7.991360691,100
03/06/2020,16.66666667,0.208333333,0,1.041666667,72.70833333,0.416666667,8.958333333,100
04/06/2020,16.56804734,0.197238659,0,1.183431953,71.79487179,1.380670611,8.875739645,100
05/06/2020,15.20912548,0.190114068,0,1.140684411,73.19391635,0.570342205,9.69581749,100
06/06/2020,15.16245487,0.180505415,0,1.263537906,74.00722022,0.722021661,8.664259928,100
07/06/2020,13.65187713,0.170648464,0,1.194539249,75.42662116,0.853242321,8.703071672,100
08/06/2020,13.48684211,0.164473684,0,1.315789474,75,1.151315789,8.881578947,100
09/06/2020,13.07814992,0.159489633,0,1.275917065,75.75757576,0.797448166,8.931419458,100
10/06/2020,13.50078493,0.156985871,0,1.25588697,75.66718995,0.941915228,8.477237049,100
11/06/2020,13.26699834,0.165837479,0,1.326699834,75.62189055,0.829187396,8.789386401,100
12/06/2020,14.9750416,0.166389351,0,1.49750416,73.04492512,0.998336106,9.317803661,100
13/06/2020,13.60655738,0,0,3.606557377,71.96721311,1.639344262,9.180327869,100
14/06/2020,11.99351702,0,0,3.727714749,72.77147488,1.782820097,9.724473258,100
15/06/2020,13.26860841,0,0,3.883495146,70.87378641,1.779935275,10.19417476,100
16/06/2020,15.1465798,0.16286645,0,4.071661238,67.752443,2.117263844,10.74918567,100
17/06/2020,16.77631579,0.164473684,0,4.769736842,65.46052632,2.467105263,10.36184211,100
18/06/2020,16.56050955,0.159235669,0,6.369426752,63.85350318,2.547770701,10.50955414,100
19/06/2020,18.18181818,0.156739812,0,6.739811912,62.22570533,2.194357367,10.5015674,100
