date,region,total_cc,imported_cc,sub_total_epilinks_cc,shincheonji_cc,small_clusters_cc,contacts_cc,epi_link_imported_cc,other_cc,new_cc,other_major_epilinks
27/03/2020,Airport,144,144,0,,0,0,0,0,13,
27/03/2020,Total,9332,309,7635,5079,1452,1052,52,1388,91,
28/03/2020,Seoul,390,83,272,7,201,34,30,35,18,"Guro-gu  call  center (96),
Dongan Church-PC Cafe  (20),
etc."
28/03/2020,Busan,114,4,76,11,49,16,0,34,1,"Onchun Church  (32),
Suyeong-gu Kindergarten (5),
etc."
28/03/2020,Daegu,6587,2,5562,4400,430,732,0,1023,71,"Hansarang  Convalescent Hospital  (109), Daesil
Convalescent Hospital  (90), KimSin  Recuperation Hospital (32),  Second  Mi-Ju  Hospital
(60),  etc."
28/03/2020,Incheon,51,14,34,2,27,3,2,3,5,"Guro-gu call  center (20),  etc."
28/03/2020,Gwangju,20,5,14,9,0,2,3,1,0,
28/03/2020,Daejeon,31,3,18,2,10,6,0,10,0,"Korea Forest Engineer  Institute
(3),  etc."
28/03/2020,Ulsan,39,8,24,16,1,4,3,7,0,
28/03/2020,Sejong,44,0,42,1,38,3,0,2,0,"Ministry of Oceans  and Fisheries
(30),  gym facilities  (8)"
28/03/2020,Gyeonggi,433,55,333,29,223,64,17,45,21,"Grace  River Church  in Seongnam  (68), Guro-gu  call center-Bucheon  SaengMyeongSu
Church  (48), etc."
28/03/2020,Gangwon,32,3,22,17,5,0,0,7,1,"Apartments  in  Wonju City   (3),
etc."
28/03/2020,"Chung-
buk",41,2,27,6,11,10,0,12,0,"Goesan-gun  Jangyeon-myeon
(11)"
28/03/2020,Chung- nam,126,5,113,0,112,1,0,8,2,"Gym  facilities  in  Cheonan (103), research  center  in Seosan (8),
etc."
28/03/2020,"Jeon-
buk",10,3,1,1,0,0,0,6,0,
28/03/2020,"Jeon-
nam",8,1,4,1,0,2,1,3,0,
28/03/2020,Gyeong- buk,1285,1,1120,555,390,174,1,164,2,"Cheongdo  Daenam Hospital (120),  Bonghwa Pureun Nursing Home (68),  pilgrimage  to Israel (49),  Gyeongsan  Seorin  Nursing
Home (36),  etc."
28/03/2020,Gyeong- nam,91,3,72,32,35,5,0,16,0,"Geochang  Church  (10), Geochang  Woongyang-myeon
(8),  etc."
28/03/2020,Jeju,8,3,0,0,0,0,0,5,1,
28/03/2020,Airport,168,168,0,0,0,0,0,0,24,
28/03/2020,Total,9478,363,7734,5089,1532,1056,57,1381,146,
29/03/2020,Seoul,410,92,281,7,207,35,32,37,20,"Guro-gu call  center (96), Dongan Church-PC Cafe  (20),
Manmin Central Church(7) etc."
29/03/2020,Busan,117,5,76,11,49,16,0,36,3,"Onchun Church  (32),
Suyeong-gu Kindergarten (5),
etc."
29/03/2020,Daegu,6610,3,5584,4400,450,732,2,1023,23,"Hansarang  Convalescent Hospital  (109), Daesil
Convalescent Hospital  (90), Second Miju Hospital(75)  etc."
